,county,num_blocks,num_tracts
771,19161,1672,4
772,19163,6960,47
773,19165,1847,4
774,19167,2165,7
775,19169,3775,20
776,19171,2051,6
777,19173,1654,3
778,19175,1889,4
779,19177,1060,2
780,19179,2793,11
781,19181,2052,12
782,19183,1683,5
783,19185,1473,3
784,19187,3459,12
785,19189,1051,3
786,19191,2335,5
787,19193,6395,26
788,19195,1374,3
789,19197,1807,5
790,20001,2670,5
791,20003,1956,2
792,20005,1439,4
793,20007,1610,2
794,20009,2656,8
795,20011,2441,5
796,20013,1807,3
797,20015,4500,13
798,20017,1548,1
799,20019,1334,1
800,20021,2399,6
801,20023,1240,1
802,20025,1287,1
803,20027,1834,2
804,20029,1644,4
805,20031,2409,3
806,20033,948,1
807,20035,3447,11
808,20037,3806,11
809,20039,1267,2
810,20041,3463,6
811,20043,1148,3
812,20045,3136,22
813,20047,1320,2
814,20049,1304,1
815,20051,3619,6
816,20053,1920,2
817,20055,2172,12
818,20057,3103,7
819,20059,2754,5
820,20061,2665,8
821,20063,1003,2
822,20065,964,2
823,20067,1419,2
824,20069,1655,2
825,20071,701,1
826,20073,2189,3
827,20075,1012,1
828,20077,2012,3
829,20079,2302,6
830,20081,1352,1
831,20083,1000,1
832,20085,1441,3
833,20087,2441,4
834,20089,1856,2
835,20091,9208,130
836,20093,1274,1
837,20095,2130,3
838,20097,1202,1
839,20099,3551,8
840,20101,996,1
841,20103,2856,16
842,20105,1414,1
843,20107,2540,2
844,20109,1061,1
845,20111,3792,8
846,20113,3573,7
847,20115,3047,4
848,20117,3084,4
849,20119,1683,2
850,20121,3301,8
851,20123,1373,2
852,20125,4430,13
853,20127,1816,2
854,20129,1102,1
855,20131,2472,3
856,20133,1996,5
857,20135,1490,2
858,20137,1584,1
859,20139,2198,5
860,20141,1646,1
861,20143,1087,2
862,20145,1875,2
863,20147,2035,3
864,20149,3127,4
865,20151,1489,3
866,20153,1253,1
867,20155,4286,17
868,20157,1838,3
869,20159,2263,3
870,20161,3081,14
871,20163,1974,2
872,20165,1512,2
873,20167,1482,2
874,20169,2553,12
875,20171,1311,1
876,20173,13277,124
877,20175,2179,5
878,20177,5828,43
879,20179,1254,2
880,20181,1737,2
881,20183,1781,2
882,20185,2003,2
883,20187,1210,1
884,20189,1356,2
885,20191,4413,6
886,20193,1783,2
887,20195,1479,1
888,20197,1900,2
889,20199,574,1
890,20201,2202,2
891,20203,976,1
892,20205,2572,4
893,20207,1105,2
894,20209,4793,70
895,21001,1037,7
896,21003,945,6
897,21005,736,5
898,21007,765,3
899,21009,1842,10
900,21011,644,3
901,21013,1668,9
902,21015,1475,22
903,21017,929,6
904,21019,1845,13
905,21021,1108,7
906,21023,478,3
907,21025,858,7
908,21027,1238,6
909,21029,1520,18
910,21031,852,5
911,21033,989,3
912,21035,2024,9
913,21037,1725,25
914,21039,484,3
915,21041,766,3
916,21043,1533,7
917,21045,918,5
918,21047,2977,19
919,21049,1130,10
920,21051,992,6
921,21053,574,3
922,21055,740,4
923,21057,770,2
924,21059,3033,23
925,21061,502,4
926,21063,486,2
927,21065,597,4
928,21067,4151,82
929,21069,925,4
930,21071,1915,10
931,21073,1514,11
932,21075,734,2
933,21077,548,2
934,21079,695,4
935,21081,926,4
936,21083,2082,9
937,21085,1219,7
938,21087,756,4
939,21089,1847,9
940,21091,699,3
941,21093,3518,22
942,21095,2421,11
943,21097,949,5
944,21099,1061,5
945,21101,1828,11
946,21103,853,5
947,21105,626,1
948,21107,2506,12
949,21109,683,3
950,21111,12762,191
951,21113,984,9
952,21115,1213,6
953,21117,3778,41
954,21119,673,5
955,21121,1450,8
956,21123,708,4
957,21125,1954,13
958,21127,1455,5
959,21129,604,3
960,21131,1058,3
961,21133,1430,7
962,21135,1495,4
963,21137,1057,6
964,21139,950,2
965,21141,1702,6
966,21143,1179,3
967,21145,3112,17
968,21147,732,4
969,21149,752,3
970,21151,2712,19
971,21153,590,4
972,21155,982,6
973,21157,2293,6
974,21159,553,3
975,21161,1180,5
976,21163,978,8
977,21165,383,2
978,21167,953,5
979,21169,592,3
980,21171,734,4
